parcel_id,reference_area_ha,reference_source,reference_method,computed_forest_area_ha,diff_pct,tolerance_percent,outcome,reason
23401:001:0260,10.2106,attribute:mets,reported_m2,416.060874,3974.793587,5.0,comparable,
23401:001:0262,13.2681,attribute:mets,reported_m2,416.060874,3035.798449,5.0,comparable,
23401:001:0338,0.011,attribute:mets,reported_m2,416.060874,3782271.581818,5.0,comparable,
23401:006:0008,2.9538,attribute:mets,reported_m2,416.060874,13985.61426,5.0,comparable,
23401:006:0012,8.5008,attribute:mets,reported_m2,416.060874,4794.373165,5.0,comparable,
23401:006:0019,2.7005,attribute:mets,reported_m2,416.060874,15306.808887,5.0,comparable,
23401:006:0034,3.6661,attribute:mets,reported_m2,416.060874,11248.868662,5.0,comparable,
23401:006:0059,0.003,attribute:mets,reported_m2,416.060874,13868595.8,5.0,comparable,
23401:006:0095,404.0,attribute:haritav,reported_ha,416.060874,2.985365,5.0,comparable,
23401:006:0100,4.2906,attribute:mets,reported_m2,416.060874,9597.032443,5.0,comparable,
23401:006:0102,5.8544,attribute:mets,reported_m2,416.060874,7006.806402,5.0,comparable,
23401:006:0160,18.0896,attribute:mets,reported_m2,416.060874,2200.000409,5.0,comparable,
23401:006:0290,13.2027,attribute:mets,reported_m2,416.060874,3051.331728,5.0,comparable,
23401:006:0340,15.0091,attribute:mets,reported_m2,416.060874,2672.057445,5.0,comparable,
23401:006:0360,7.7935,attribute:mets,reported_m2,416.060874,5238.562571,5.0,comparable,
23401:006:0372,3.5136,attribute:mets,reported_m2,416.060874,11741.441086,5.0,comparable,
23401:006:0382,3.5008,attribute:mets,reported_m2,416.060874,11784.737032,5.0,comparable,
23401:006:0393,2.4358,attribute:mets,reported_m2,416.060874,16981.077018,5.0,comparable,
23401:006:0640,0.054,attribute:mets,reported_m2,416.060874,770383.1,5.0,comparable,
23401:006:0780,0.4789,attribute:mets,reported_m2,416.060874,86778.445187,5.0,comparable,
23401:006:0793,1.0108,attribute:mets,reported_m2,416.060874,41061.542738,5.0,comparable,
23401:006:0820,4.567,attribute:mets,reported_m2,416.060874,9010.157083,5.0,comparable,
27101:002:0002,12795.0,attribute:haritav,reported_ha,416.060874,-96.748254,5.0,comparable,
27101:002:0003,0.0047,attribute:mets,reported_m2,416.060874,8852259.021277,5.0,comparable,
27101:002:0004,0.5016,attribute:mets,reported_m2,416.060874,82846.745215,5.0,comparable,
27101:002:0005,13730.0,attribute:haritav,reported_ha,416.060874,-96.969695,5.0,comparable,
27101:002:0006,10555.0,attribute:haritav,reported_ha,416.060874,-96.058163,5.0,comparable,
27101:002:0007,201.0,attribute:haritav,reported_ha,416.060874,106.99546,5.0,comparable,
27101:002:0009,0.0173,attribute:mets,reported_m2,416.060874,2404876.150289,5.0,comparable,
27101:002:0010,2.3654,attribute:mets,reported_m2,416.060874,17489.451002,5.0,comparable,
27101:002:0011,5.9029,attribute:mets,reported_m2,416.060874,6948.414745,5.0,comparable,
27101:002:0012,0.0096,attribute:mets,reported_m2,416.060874,4333867.4375,5.0,comparable,
27101:002:0013,1.4592,attribute:mets,reported_m2,416.060874,28412.943668,5.0,comparable,
27101:002:0014,2.0752,attribute:mets,reported_m2,416.060874,19949.194005,5.0,comparable,
27101:002:0015,1.2299,attribute:mets,reported_m2,416.060874,33728.837629,5.0,comparable,
27101:002:0016,2.6549,attribute:mets,reported_m2,416.060874,15571.432973,5.0,comparable,
27101:002:0017,0.7385,attribute:mets,reported_m2,416.060874,56238.642383,5.0,comparable,
27101:002:0018,5.2927,attribute:mets,reported_m2,416.060874,7761.03263,5.0,comparable,
27101:002:0019,11.4893,attribute:mets,reported_m2,416.060874,3521.290018,5.0,comparable,
27101:002:0020,15.8953,attribute:mets,reported_m2,416.060874,2517.508786,5.0,comparable,
27101:002:0023,2.6021,attribute:mets,reported_m2,416.060874,15889.426771,5.0,comparable,
27101:002:0024,0.8312,attribute:mets,reported_m2,416.060874,49955.446824,5.0,comparable,
27101:002:0025,0.156,attribute:mets,reported_m2,416.060874,266605.688462,5.0,comparable,
27101:002:0027,0.0384,attribute:mets,reported_m2,416.060874,1083391.859375,5.0,comparable,
27101:002:0031,9.9288,attribute:mets,reported_m2,416.060874,4090.444706,5.0,comparable,
27101:002:0048,13.8806,attribute:mets,reported_m2,416.060874,2897.427157,5.0,comparable,
27101:002:0051,5058.0,attribute:haritav,reported_ha,416.060874,-91.774202,5.0,comparable,
27101:002:0052,103630.0,attribute:haritav,reported_ha,416.060874,-99.598513,5.0,comparable,
27101:002:0053,0.6075,attribute:mets,reported_m2,416.060874,68387.386667,5.0,comparable,
27101:002:0054,65597.0,attribute:haritav,reported_ha,416.060874,-99.365732,5.0,comparable,
27101:002:0055,35944.0,attribute:haritav,reported_ha,416.060874,-98.842475,5.0,comparable,
27101:002:0056,145562.0,attribute:haritav,reported_ha,416.060874,-99.714169,5.0,comparable,
27101:002:0059,5.624,attribute:mets,reported_m2,416.060874,7297.952952,5.0,comparable,
27101:002:0060,381794.0,attribute:haritav,reported_ha,416.060874,-99.891025,5.0,comparable,
27101:002:0061,0.8224,attribute:mets,reported_m2,416.060874,50491.059582,5.0,comparable,
27101:002:0062,4.1942,attribute:mets,reported_m2,416.060874,9819.910209,5.0,comparable,
27101:002:0063,2.5179,attribute:mets,reported_m2,416.060874,16424.122245,5.0,comparable,
27101:002:0064,2.1051,attribute:mets,reported_m2,416.060874,19664.423258,5.0,comparable,
27101:002:0065,0.4111,attribute:mets,reported_m2,416.060874,101106.731695,5.0,comparable,
27101:002:0066,0.0371,attribute:mets,reported_m2,416.060874,1121357.881402,5.0,comparable,
27101:002:0069,8.4344,attribute:mets,reported_m2,416.060874,4832.904226,5.0,comparable,
27101:002:0073,7.5381,attribute:mets,reported_m2,416.060874,5419.439567,5.0,comparable,
27101:002:0074,0.2774,attribute:mets,reported_m2,416.060874,149885.895458,5.0,comparable,
27101:002:0076,0.0689,attribute:mets,reported_m2,416.060874,603761.936139,5.0,comparable,
