parcel_id,forest_area_ha,pindala_m2,geodesic_area_ha,maaamet_land_area_ha,maaamet_forest_area_ha,hansen_land_area_ha,hansen_forest_area_ha,haritav,mets,pindala,rohumaa,siht1
27101:001:0035,2754.1148,28870758.0,2887.465675,2887.0758,2754.1148,2962.747605,1886.091867,,27541148.0,28870758.0,7779,MAATULUNDUSMAA
27101:002:0095,853.5847,9052451.0,905.366971,905.2451,853.5847,943.179077,651.691594,99,8535847,9052451,9973,MAATULUNDUSMAA
27101:002:0042,197.4729,2041238.0,204.151292,204.1238,197.4729,220.477549,213.520682,,1974729,2041238,,MAATULUNDUSMAA
83501:001:0112,117.5802,1227635.0,122.780092,122.7635,117.5802,132.952695,129.924369,,1175802,1227635,7621,MAATULUNDUSMAA
27101:002:0770,132.5298,1340971.0,134.115178,134.0971,132.5298,140.312165,109.122968,,1325298,1340971,,MAATULUNDUSMAA
27101:003:0058,22.4789,1370269.0,137.045444,137.0269,22.4789,143.626497,93.529805,,224789,1370269,,MAATULUNDUSMAA
23401:006:0070,85.7793,868479.0,86.85961,86.8479,85.7793,91.615258,81.198181,,857793,868479,,MAATULUNDUSMAA
35701:003:0274,82.1704,901342.0,90.146333,90.1342,82.1704,98.958856,80.136335,3384,821704,901342,,MAATULUNDUSMAA
75902:001:5903,164.9674,1754635.0,175.486949,175.4635,164.9674,185.006572,73.704622,792,1649674,1754635,31763,MAATULUNDUSMAA
27101:003:0046,54.9663,556852.0,55.692712,55.6852,54.9663,62.914865,59.199875,,549663,556852,4307,MAATULUNDUSMAA
