parcel_id,reference_area_ha,reference_source,reference_method,computed_forest_area_ha,diff_pct,tolerance_percent,outcome,reason
23401:001:0260,10.2106,attribute:mets,reported_m2,412.169381,3936.681302,5.0,comparable,
23401:001:0262,13.2681,attribute:mets,reported_m2,412.169381,3006.468756,5.0,comparable,
23401:001:0338,0.011,attribute:mets,reported_m2,412.169381,3746894.372727,5.0,comparable,
23401:006:0008,2.9538,attribute:mets,reported_m2,412.169381,13853.868948,5.0,comparable,
23401:006:0012,8.5008,attribute:mets,reported_m2,412.169381,4748.595203,5.0,comparable,
23401:006:0019,2.7005,attribute:mets,reported_m2,412.169381,15162.706203,5.0,comparable,
23401:006:0034,3.6661,attribute:mets,reported_m2,412.169381,11142.72063,5.0,comparable,
23401:006:0059,0.003,attribute:mets,reported_m2,412.169381,13738879.366667,5.0,comparable,
23401:006:0095,0.2781,geometry,capped_to_land_area,412.169381,148109.054657,5.0,comparable,
23401:006:0100,4.2906,attribute:mets,reported_m2,412.169381,9506.334336,5.0,comparable,
23401:006:0102,5.8544,attribute:mets,reported_m2,412.169381,6940.33515,5.0,comparable,
23401:006:0160,18.0896,attribute:mets,reported_m2,412.169381,2178.488087,5.0,comparable,
23401:006:0290,13.2027,attribute:mets,reported_m2,412.169381,3021.856749,5.0,comparable,
23401:006:0340,15.0091,attribute:mets,reported_m2,412.169381,2646.129888,5.0,comparable,
23401:006:0360,7.7935,attribute:mets,reported_m2,412.169381,5188.630025,5.0,comparable,
23401:006:0372,3.5136,attribute:mets,reported_m2,412.169381,11630.685935,5.0,comparable,
23401:006:0382,3.5008,attribute:mets,reported_m2,412.169381,11673.576925,5.0,comparable,
23401:006:0393,2.4358,attribute:mets,reported_m2,412.169381,16821.314599,5.0,comparable,
23401:006:0640,0.054,attribute:mets,reported_m2,412.169381,763176.631481,5.0,comparable,
23401:006:0780,0.4789,attribute:mets,reported_m2,412.169381,85965.855293,5.0,comparable,
23401:006:0793,1.0108,attribute:mets,reported_m2,412.169381,40676.551345,5.0,comparable,
23401:006:0820,4.567,attribute:mets,reported_m2,412.169381,8924.948128,5.0,comparable,
27101:002:0002,1.9303,geometry,capped_to_land_area,412.169381,21252.607419,5.0,comparable,
27101:002:0003,0.0047,attribute:mets,reported_m2,412.169381,8769461.297872,5.0,comparable,
27101:002:0004,0.5016,attribute:mets,reported_m2,412.169381,82070.929226,5.0,comparable,
27101:002:0005,1.7838,geometry,capped_to_land_area,412.169381,23006.255242,5.0,comparable,
27101:002:0006,1.5794,geometry,capped_to_land_area,412.169381,25996.579777,5.0,comparable,
27101:002:0007,0.2632,geometry,capped_to_land_area,412.169381,156499.308891,5.0,comparable,
27101:002:0009,0.0173,attribute:mets,reported_m2,412.169381,2382381.971098,5.0,comparable,
27101:002:0010,2.3654,attribute:mets,reported_m2,412.169381,17324.933669,5.0,comparable,
27101:002:0011,5.9036,attribute:mets,reported_m2,412.169381,6881.661715,5.0,comparable,
27101:002:0012,0.0096,attribute:mets,reported_m2,412.169381,4293331.052083,5.0,comparable,
27101:002:0013,1.4629,attribute:mets,reported_m2,412.169381,28074.815845,5.0,comparable,
27101:002:0014,2.0752,attribute:mets,reported_m2,412.169381,19761.670249,5.0,comparable,
27101:002:0015,1.2299,attribute:mets,reported_m2,412.169381,33412.43036,5.0,comparable,
27101:002:0016,2.6549,attribute:mets,reported_m2,412.169381,15424.855211,5.0,comparable,
27101:002:0017,0.7385,attribute:mets,reported_m2,412.169381,55711.696818,5.0,comparable,
27101:002:0018,5.2927,attribute:mets,reported_m2,412.169381,7687.506962,5.0,comparable,
27101:002:0019,11.4893,attribute:mets,reported_m2,412.169381,3487.419434,5.0,comparable,
27101:002:0020,15.8955,attribute:mets,reported_m2,412.169381,2492.994124,5.0,comparable,
27101:002:0023,2.6021,attribute:mets,reported_m2,412.169381,15739.874755,5.0,comparable,
27101:002:0024,0.8312,attribute:mets,reported_m2,412.169381,49487.269129,5.0,comparable,
27101:002:0025,0.1559,attribute:mets,reported_m2,412.169381,264280.616421,5.0,comparable,
27101:002:0027,0.0384,attribute:mets,reported_m2,412.169381,1073257.763021,5.0,comparable,
27101:002:0031,9.9288,attribute:mets,reported_m2,412.169381,4051.250715,5.0,comparable,
27101:002:0048,13.8806,attribute:mets,reported_m2,412.169381,2869.391676,5.0,comparable,
27101:002:0051,3.0013,geometry,capped_to_land_area,412.169381,13633.028388,5.0,comparable,
27101:002:0052,10.4163,geometry,capped_to_land_area,412.169381,3856.965343,5.0,comparable,
27101:002:0053,0.6075,attribute:mets,reported_m2,412.169381,67746.811687,5.0,comparable,
27101:002:0054,7.009,geometry,capped_to_land_area,412.169381,5780.573277,5.0,comparable,
27101:002:0055,3.83,geometry,capped_to_land_area,412.169381,10661.602637,5.0,comparable,
27101:002:0056,15.1857,geometry,capped_to_land_area,412.169381,2614.19415,5.0,comparable,
27101:002:0059,5.624,attribute:mets,reported_m2,412.169381,7228.758553,5.0,comparable,
27101:002:0060,40.9997,geometry,capped_to_land_area,412.169381,905.298529,5.0,comparable,
27101:002:0061,0.8224,attribute:mets,reported_m2,412.169381,50017.872203,5.0,comparable,
27101:002:0062,4.1942,attribute:mets,reported_m2,412.169381,9727.127486,5.0,comparable,
27101:002:0063,2.5179,attribute:mets,reported_m2,412.169381,16269.569125,5.0,comparable,
27101:002:0064,2.1051,attribute:mets,reported_m2,412.169381,19479.563014,5.0,comparable,
27101:002:0065,0.4111,attribute:mets,reported_m2,412.169381,100160.126733,5.0,comparable,
27101:002:0066,0.0371,attribute:mets,reported_m2,412.169381,1110868.681941,5.0,comparable,
27101:002:0069,8.4374,attribute:mets,reported_m2,412.169381,4785.028338,5.0,comparable,
27101:002:0073,7.5381,attribute:mets,reported_m2,412.169381,5367.815245,5.0,comparable,
27101:002:0074,0.2774,attribute:mets,reported_m2,412.169381,148483.050108,5.0,comparable,
27101:002:0076,0.0689,attribute:mets,reported_m2,412.169381,598113.90566,5.0,comparable,
27101:002:0077,0.4591,geometry,capped_to_land_area,412.169381,89677.691353,5.0,comparable,
27101:002:0078,0.9708,geometry,capped_to_land_area,412.169381,42356.67295,5.0,comparable,
27101:002:0079,0.071,attribute:mets,reported_m2,412.169381,580420.25493,5.0,comparable,
27101:002:0081,0.1417,geometry,capped_to_land_area,412.169381,290774.651376,5.0,comparable,
27101:002:0082,0.5749,geometry,capped_to_land_area,412.169381,71594.100017,5.0,comparable,
27101:002:0083,0.0041,attribute:mets,reported_m2,412.169381,10052811.731707,5.0,comparable,
27101:002:0084,13.9011,geometry,capped_to_land_area,412.169381,2865.012704,5.0,comparable,
27101:002:0085,0.1497,attribute:mets,reported_m2,412.169381,275230.247829,5.0,comparable,
27101:002:0086,2.9435,attribute:mets,reported_m2,412.169381,13902.696824,5.0,comparable,
27101:002:0087,0.6307,attribute:mets,reported_m2,412.169381,65251.098938,5.0,comparable,
27101:002:0088,0.3219,geometry,capped_to_land_area,412.169381,127942.678161,5.0,comparable,
27101:002:0091,3.7944,attribute:mets,reported_m2,412.169381,10762.570657,5.0,comparable,
27101:002:0096,2.0669,geometry,capped_to_land_area,412.169381,19841.428274,5.0,comparable,
27101:002:0102,9.7836,attribute:mets,reported_m2,412.169381,4112.860103,5.0,comparable,
27101:002:0105,2.9133,attribute:mets,reported_m2,412.169381,14047.852298,5.0,comparable,
27101:002:0106,18.5443,geometry,capped_to_land_area,412.169381,2122.620325,5.0,comparable,
27101:002:0107,3.5443,attribute:mets,reported_m2,412.169381,11529.077138,5.0,comparable,
27101:002:0108,0.0737,attribute:mets,reported_m2,412.169381,559152.891452,5.0,comparable,
27101:002:0109,3.3946,attribute:mets,reported_m2,412.169381,12041.913068,5.0,comparable,
27101:002:0141,4.7047,attribute:mets,reported_m2,412.169381,8660.800497,5.0,comparable,
27101:002:0181,9.6618,geometry,capped_to_land_area,412.169381,4165.968877,5.0,comparable,
27101:002:0182,0.0441,attribute:mets,reported_m2,412.169381,934524.446712,5.0,comparable,
27101:002:0183,4.5386,attribute:mets,reported_m2,412.169381,8981.421165,5.0,comparable,
27101:002:0191,18.7715,geometry,capped_to_land_area,412.169381,2095.718941,5.0,comparable,
27101:002:0192,11.997,geometry,capped_to_land_area,412.169381,3335.603743,5.0,comparable,
27101:002:0212,4.415,attribute:mets,reported_m2,412.169381,9235.659819,5.0,comparable,
27101:002:0285,6.0706,attribute:mets,reported_m2,412.169381,6689.598738,5.0,comparable,
27101:002:0311,4.5408,attribute:mets,reported_m2,412.169381,8977.021252,5.0,comparable,
27101:002:0312,10.8345,geometry,capped_to_land_area,412.169381,3704.230754,5.0,comparable,
27101:002:0313,3.2804,attribute:mets,reported_m2,412.169381,12464.607395,5.0,comparable,
27101:002:0322,5.659,attribute:mets,reported_m2,412.169381,7183.431366,5.0,comparable,
27101:002:0332,11.3792,geometry,capped_to_land_area,412.169381,3522.129684,5.0,comparable,
27101:002:0333,10.6453,attribute:mets,reported_m2,412.169381,3771.843734,5.0,comparable,
27101:002:0335,1.3607,attribute:mets,reported_m2,412.169381,30190.981186,5.0,comparable,
27101:002:0341,0.4833,attribute:mets,reported_m2,412.169381,85182.305193,5.0,comparable,
27101:002:0342,0.0205,attribute:mets,reported_m2,412.169381,2010482.346341,5.0,comparable,
27101:002:0343,7.8458,attribute:mets,reported_m2,412.169381,5153.376087,5.0,comparable,
27101:002:0345,1.564,attribute:mets,reported_m2,412.169381,26253.540985,5.0,comparable,
27101:002:0351,10.4986,geometry,capped_to_land_area,412.169381,3825.946136,5.0,comparable,
27101:002:0352,2.1251,attribute:mets,reported_m2,412.169381,19295.293445,5.0,comparable,
27101:002:0353,4.8188,attribute:mets,reported_m2,412.169381,8453.361439,5.0,comparable,
27101:002:0372,2.8904,attribute:mets,reported_m2,412.169381,14159.942603,5.0,comparable,
27101:002:0382,2.6078,attribute:mets,reported_m2,412.169381,15705.252742,5.0,comparable,
27101:002:0383,2.3074,attribute:mets,reported_m2,412.169381,17762.935815,5.0,comparable,
27101:002:0384,6.241,attribute:mets,reported_m2,412.169381,6504.220173,5.0,comparable,
27101:002:0400,0.0243,attribute:mets,reported_m2,412.169381,1696070.292181,5.0,comparable,
27101:002:0411,1.9054,attribute:mets,reported_m2,412.169381,21531.645901,5.0,comparable,
27101:002:0412,8.5077,geometry,capped_to_land_area,412.169381,4744.662847,5.0,comparable,
27101:002:0421,17.2222,geometry,capped_to_land_area,412.169381,2293.244655,5.0,comparable,
27101:002:0422,10.3295,attribute:mets,reported_m2,412.169381,3890.216187,5.0,comparable,
27101:002:0423,2.9593,attribute:mets,reported_m2,412.169381,13827.935018,5.0,comparable,
27101:002:0425,4.4702,attribute:mets,reported_m2,412.169381,9120.378976,5.0,comparable,
27101:002:0430,0.6145,geometry,capped_to_land_area,412.169381,66973.943206,5.0,comparable,
27101:002:0441,0.1407,attribute:mets,reported_m2,412.169381,292841.99076,5.0,comparable,
27101:002:0442,7.8807,attribute:mets,reported_m2,412.169381,5130.111297,5.0,comparable,
27101:002:0451,0.0137,attribute:mets,reported_m2,412.169381,3008435.627737,5.0,comparable,
27101:002:0452,7.2503,geometry,capped_to_land_area,412.169381,5584.859675,5.0,comparable,
27101:002:0453,4.1332,attribute:mets,reported_m2,412.169381,9872.161546,5.0,comparable,
27101:002:0460,16.4269,geometry,capped_to_land_area,412.169381,2409.112377,5.0,comparable,
27101:002:0501,0.0481,attribute:mets,reported_m2,412.169381,856801.0,5.0,comparable,
27101:002:0502,0.5683,attribute:mets,reported_m2,412.169381,72426.725497,5.0,comparable,
27101:002:0503,0.9399,attribute:mets,reported_m2,412.169381,43752.471646,5.0,comparable,
27101:002:0510,9.1806,attribute:mets,reported_m2,412.169381,4389.569102,5.0,comparable,
27101:002:0521,0.2656,geometry,capped_to_land_area,412.169381,155084.254895,5.0,comparable,
27101:002:0522,5.3,attribute:mets,reported_m2,412.169381,7676.780774,5.0,comparable,
27101:002:0524,5.9824,attribute:mets,reported_m2,412.169381,6789.699468,5.0,comparable,
27101:002:0530,13.0955,geometry,capped_to_land_area,412.169381,3047.412325,5.0,comparable,
27101:002:0570,6.6952,geometry,capped_to_land_area,412.169381,6056.192212,5.0,comparable,
27101:002:0581,0.101,attribute:mets,reported_m2,412.169381,407988.49604,5.0,comparable,
27101:002:0582,0.0049,attribute:mets,reported_m2,412.169381,8411520.020408,5.0,comparable,
27101:002:0583,13.9857,attribute:mets,reported_m2,412.169381,2847.077236,5.0,comparable,
27101:002:0584,4.6965,attribute:mets,reported_m2,412.169381,8676.096689,5.0,comparable,
27101:002:0591,0.1968,attribute:mets,reported_m2,412.169381,209335.661077,5.0,comparable,
27101:002:0592,0.2344,attribute:mets,reported_m2,412.169381,175740.179608,5.0,comparable,
27101:002:0593,3.4119,attribute:mets,reported_m2,412.169381,11980.347636,5.0,comparable,
27101:002:0604,4.4835,attribute:mets,reported_m2,412.169381,9093.027345,5.0,comparable,
27101:002:0610,5.044,attribute:mets,reported_m2,412.169381,8071.478608,5.0,comparable,
27101:002:0625,6.5652,attribute:mets,reported_m2,412.169381,6178.093295,5.0,comparable,
27101:002:0633,7.0246,attribute:mets,reported_m2,412.169381,5767.513894,5.0,comparable,
27101:002:0640,0.6184,attribute:mets,reported_m2,412.169381,66550.934832,5.0,comparable,
27101:002:0650,0.0057,attribute:mets,reported_m2,412.169381,7230941.77193,5.0,comparable,
27101:002:0670,0.236,attribute:mets,reported_m2,412.169381,174548.042797,5.0,comparable,
27101:002:0680,10.021,attribute:mets,reported_m2,412.169381,4013.056392,5.0,comparable,
27101:002:0691,3.4684,geometry,capped_to_land_area,412.169381,11783.559595,5.0,comparable,
27101:002:0692,5.3375,attribute:mets,reported_m2,412.169381,7622.14297,5.0,comparable,
27101:002:0700,0.0265,attribute:mets,reported_m2,412.169381,1555256.154717,5.0,comparable,
27101:002:0710,0.0067,attribute:mets,reported_m2,412.169381,6151681.80597,5.0,comparable,
27101:002:0720,12.4047,geometry,capped_to_land_area,412.169381,3222.687215,5.0,comparable,
27101:002:0751,0.0516,attribute:mets,reported_m2,412.169381,798677.870155,5.0,comparable,
27101:002:0760,0.7726,attribute:mets,reported_m2,412.169381,53248.353741,5.0,comparable,
27101:002:0890,2.0455,geometry,capped_to_land_area,412.169381,20050.055292,5.0,comparable,
27101:002:0901,6.4798,attribute:mets,reported_m2,412.169381,6260.834918,5.0,comparable,
27101:002:0902,4.404,attribute:mets,reported_m2,412.169381,9258.97777,5.0,comparable,
27101:002:0910,2.2303,attribute:mets,reported_m2,412.169381,18380.445725,5.0,comparable,
27101:002:0930,7.4303,attribute:mets,reported_m2,412.169381,5447.143197,5.0,comparable,
27101:002:0941,11.1943,geometry,capped_to_land_area,412.169381,3581.957612,5.0,comparable,
27101:002:0942,5.8793,attribute:mets,reported_m2,412.169381,6910.517936,5.0,comparable,
27101:002:0943,0.1325,attribute:mets,reported_m2,412.169381,310971.230943,5.0,comparable,
27101:002:0951,27.1864,attribute:mets,reported_m2,412.169381,1416.08665,5.0,comparable,
27101:002:0970,2.4176,geometry,capped_to_land_area,412.169381,16948.700405,5.0,comparable,
27101:002:0990,0.3822,attribute:mets,reported_m2,412.169381,107741.282313,5.0,comparable,
27101:002:1025,7.6993,attribute:mets,reported_m2,412.169381,5253.335771,5.0,comparable,
27101:002:1040,1.0526,geometry,capped_to_land_area,412.169381,39057.265913,5.0,comparable,
27101:002:1080,2.197,geometry,capped_to_land_area,412.169381,18660.554438,5.0,comparable,
27101:002:1081,12.2861,attribute:mets,reported_m2,412.169381,3254.761731,5.0,comparable,
27101:002:1083,5.1792,attribute:mets,reported_m2,412.169381,7858.166918,5.0,comparable,
27101:002:1101,0.1524,attribute:mets,reported_m2,412.169381,270352.349738,5.0,comparable,
27101:002:1102,3.6259,attribute:mets,reported_m2,412.169381,11267.367578,5.0,comparable,
27101:002:1103,6.4097,attribute:mets,reported_m2,412.169381,6330.400502,5.0,comparable,
