parcel_id,forest_area_ha,pindala_m2,geodesic_area_ha,maaamet_land_area_ha,maaamet_forest_area_ha,hansen_land_area_ha,hansen_forest_area_ha,hansen_forest_loss_ha,haritav,mets,pindala,rohumaa,siht1
35701:002:0006,69.4335,694335.0,69.442772,69.4335,69.4335,141.443419,141.443419,0.0,677737,,694335,,MAATULUNDUSMAA
27101:003:0014,88.6903,886903.0,88.702279,88.6903,88.6903,141.304417,141.304417,0.0,842831,,886903,19636,MAATULUNDUSMAA
75902:001:5901,33.6362,632011.0,63.209611,63.2011,33.6362,106.061717,106.061717,0.0,,336362,632011,,MAATULUNDUSMAA
27101:004:0092,2.9305,704277.0,70.437186,70.4277,2.9305,105.913424,105.913424,0.0,635891,29305,704277,6298,MAATULUNDUSMAA
27101:004:0055,0.8333,862954.0,86.307053,86.2954,0.8333,105.86243,105.86243,0.0,812998,8333,862954,5689,MAATULUNDUSMAA
35701:001:0151,35.2532,475491.0,47.555463,47.5491,35.2532,70.749502,70.749502,0.0,,352532,475491,63617,MAATULUNDUSMAA
35701:001:0321,29.0659,314653.0,31.469522,31.4653,29.0659,70.74487,70.74487,0.0,,290659,314653,,MAATULUNDUSMAA
61501:001:1544,17.7688,544622.0,54.469468,54.4622,17.7688,70.740238,70.740238,0.0,346665,177688,544622,75,MAATULUNDUSMAA
27101:003:0025,0.0125,388428.0,38.847956,38.8428,0.0125,70.707811,70.707811,0.0,377018,125,388428,1416,MAATULUNDUSMAA
61501:001:1106,26.008,260080.0,26.011481,26.008,26.008,70.703178,70.703178,0.0,251223,,260080,577,MAATULUNDUSMAA
