variable,value,unit,notes,source
aoi_area_ha,27515.387437,ha,geodesic_wgs84_pyproj,geometry
end_year,2025,year,forest_end_year,hansen_gfc
forest_2025_ha,15603.279905,ha,rfm_mask & (lossyear == 0),hansen_gfc
forest_end_year_ha,15603.279905,ha,forest_mask_end_year,hansen_gfc
forest_loss_post_2020_percent_of_aoi,13.407943,percent,forest_loss_post_2020_ha / aoi_area_ha,hansen_gfc
loss_2021_2025_ha,3689.247459,ha,rfm_mask & (lossyear in 21..25),hansen_gfc
loss_total_ha,11786.767801,ha,rfm_mask & (lossyear > 0),hansen_gfc
pixel_current_tree_cover_ha,15603.279905,ha,pixel_mask,hansen_gfc
pixel_forest_loss_post_2020_ha,3689.247459,ha,pixel_mask,hansen_gfc
pixel_initial_tree_cover_ha,27390.047706,ha,pixel_mask,hansen_gfc
rfm_area_ha,27390.047706,ha,rfm_mask,hansen_gfc
